date,amount_tx
2021.02.09_16:19,102857
2021.02.09_16:24,104473
2021.02.09_16:29,105972
2021.02.09_16:34,104528
2021.02.09_16:39,102876
2021.02.09_16:44,101415
2021.02.09_16:49,102940
2021.02.09_16:54,104424
2021.02.09_16:59,103452
2021.02.09_17:04,102919
2021.02.09_17:09,104414
2021.02.09_17:14,105899
2021.02.09_17:19,105664
2021.02.09_17:24,107080
2021.02.09_17:29,108509
2021.02.09_17:34,108252
2021.02.09_17:39,107664
2021.02.09_17:45,109210
2021.02.09_17:50,106335
2021.02.09_17:55,108005
2021.02.09_18:00,105526
2021.02.09_18:05,104452
2021.02.09_18:10,106053
2021.02.09_18:15,107624
2021.02.09_18:20,109115
2021.02.09_18:25,110615
2021.02.09_18:30,108900
2021.02.09_18:35,110599
2021.02.09_18:41,112278
2021.02.09_18:46,111097
2021.02.09_18:51,110038
2021.02.09_18:57,105950
2021.02.09_19:02,107727
2021.02.09_19:07,104379
2021.02.09_19:13,106156
2021.02.09_19:18,102687
2021.02.09_19:23,104292
2021.02.09_19:29,105691
2021.02.09_19:34,107126
2021.02.09_19:39,106007
2021.02.09_19:44,104695
2021.02.09_19:50,106364
2021.02.09_19:55,105065
2021.02.09_20:00,106703
2021.02.09_20:05,108171
2021.02.09_20:10,106542
2021.02.09_20:16,108116
2021.02.09_20:21,106864
2021.02.09_20:26,108318
2021.02.09_20:31,109829
2021.02.09_20:36,111042
2021.02.09_20:47,113668
2021.02.09_20:52,115033
2021.02.09_20:57,113210
2021.02.09_21:02,114850
2021.02.09_21:08,113998
2021.02.09_21:14,115742
2021.02.09_21:19,117034
2021.02.09_21:24,116004
2021.02.09_21:29,117543
2021.02.09_21:34,118797
2021.02.09_21:40,120076
2021.02.09_21:46,115621
2021.02.09_21:50,114210
2021.02.09_21:56,112876
2021.02.09_22:02,113026
2021.02.09_22:07,114501
2021.02.09_22:12,115845
2021.02.09_22:17,114427
2021.02.09_22:23,113410
2021.02.09_22:29,112499
2021.02.09_22:34,114156
2021.02.09_22:39,112718
2021.02.09_22:45,114087
2021.02.09_22:50,115299
2021.02.09_22:55,116522
2021.02.09_23:00,114729
2021.02.09_23:05,116190
2021.02.09_23:10,117287
2021.02.09_23:15,116217
2021.02.09_23:21,116411
2021.02.09_23:27,117346
2021.02.09_23:32,118560
2021.02.09_23:37,119793
2021.02.09_23:42,120885
2021.02.09_23:47,121952
2021.02.09_23:52,122988
2021.02.09_23:57,124057
2021.02.10_00:02,119141
2021.02.10_00:08,120275
2021.02.10_00:13,121337
2021.02.10_00:18,119486
2021.02.10_00:23,111568
2021.02.10_00:29,112805
2021.02.10_00:34,113985
2021.02.10_00:39,114965
2021.02.10_00:44,109461
2021.02.10_00:49,108486
2021.02.10_00:55,106770
2021.02.10_01:01,105355
2021.02.10_01:06,106594
2021.02.10_01:17,106781
2021.02.10_01:22,107834
2021.02.10_01:27,108712
2021.02.10_01:32,104681
2021.02.10_01:38,103864
2021.02.10_01:43,102455
2021.02.10_01:49,100742
2021.02.10_01:54,101797
2021.02.10_01:59,102709
2021.02.10_02:04,103590
2021.02.10_02:09,104428
2021.02.10_02:14,99654
2021.02.10_02:20,100737
2021.02.10_02:25,95551
2021.02.10_02:30,96572
2021.02.10_02:35,92319
2021.02.10_02:41,88310
2021.02.10_02:46,87467
2021.02.10_02:52,88560
2021.02.10_02:57,87035
2021.02.10_03:03,88175
2021.02.10_03:08,88156
2021.02.10_03:13,89140
2021.02.10_03:18,88410
2021.02.10_03:24,86549
2021.02.10_03:29,87447
2021.02.10_03:34,86185
2021.02.10_03:39,87116
2021.02.10_03:44,83180
2021.02.10_03:50,84136
2021.02.10_03:55,84989
2021.02.10_04:00,85846
2021.02.10_04:05,84307
2021.02.10_04:11,85357
2021.02.10_04:21,87213
2021.02.10_04:26,84215
2021.02.10_04:32,85170
2021.02.10_04:37,81551
2021.02.10_04:43,82496
2021.02.10_04:48,83302
2021.02.10_04:53,84169
2021.02.10_04:58,84928
2021.02.10_05:03,85777
2021.02.10_05:08,83952
2021.02.10_05:14,84799
2021.02.10_05:19,83473
2021.02.10_05:24,84450
2021.02.10_05:29,82705
2021.02.10_05:35,83751
2021.02.10_05:40,79848
2021.02.10_05:45,75917
2021.02.10_05:51,75114
2021.02.10_05:56,76077
2021.02.10_06:01,76926
2021.02.10_06:06,75523
2021.02.10_06:12,76515
2021.02.10_06:23,71789
2021.02.10_06:28,72911
2021.02.10_06:33,73869
2021.02.10_06:38,74768
2021.02.10_06:43,75727
2021.02.10_06:48,76586
2021.02.10_06:53,74460
2021.02.10_06:59,72788
2021.02.10_07:04,74175
2021.02.10_07:10,75164
2021.02.10_07:15,76302
2021.02.10_07:20,77249
2021.02.10_07:25,75527
2021.02.10_07:36,78139
2021.02.10_07:41,79297
2021.02.10_07:46,78244
2021.02.10_07:51,79659
2021.02.10_07:57,80909
2021.02.10_08:02,79859
2021.02.10_08:08,81278
2021.02.10_08:13,82478
2021.02.10_08:18,80851
2021.02.10_08:23,82313
2021.02.10_08:28,83470
2021.02.10_08:33,76986
2021.02.10_08:39,78502
2021.02.10_08:44,79840
2021.02.10_08:49,75553
2021.02.10_08:54,75095
2021.02.10_09:00,71346
2021.02.10_09:06,72940
2021.02.10_09:11,73036
2021.02.10_09:16,74468
2021.02.10_09:21,75692
2021.02.10_09:26,76922
2021.02.10_09:31,78174
2021.02.10_09:36,79343
2021.02.10_09:41,77577
2021.02.10_09:47,79066
2021.02.10_09:52,78052
2021.02.10_09:57,79429
2021.02.10_10:02,80691
2021.02.10_10:08,74172
2021.02.10_10:13,72926
2021.02.10_10:19,73017
2021.02.10_10:25,74463
2021.02.10_10:30,75729
2021.02.10_10:35,77077
2021.02.10_10:40,78327
2021.02.10_10:45,76959
2021.02.10_10:51,73859
2021.02.10_10:56,73800
2021.02.10_11:02,75388
2021.02.10_11:07,76704
2021.02.10_11:12,77950
2021.02.10_11:17,79098
2021.02.10_11:22,77584
2021.02.10_11:28,77570
2021.02.10_11:33,74420
2021.02.10_11:38,74501
2021.02.10_11:44,76009
2021.02.10_11:49,77204
2021.02.10_11:54,78527
2021.02.10_12:00,80172
2021.02.10_12:05,81248
2021.02.10_12:10,82437
2021.02.10_12:15,83633
2021.02.10_12:20,84733
2021.02.10_12:25,82619
2021.02.10_12:30,81322
2021.02.10_12:36,79689
2021.02.10_12:41,78052
2021.02.10_12:58,77042
2021.02.10_13:09,78716
2021.02.10_13:14,80264
2021.02.10_13:20,81710
2021.02.10_13:25,83030
2021.02.10_13:30,84210
2021.02.10_13:35,85639
2021.02.10_13:40,87067
2021.02.10_13:50,84358
2021.02.10_13:56,85816
2021.02.10_14:06,89002
2021.02.10_14:11,87479
2021.02.10_14:17,86588
2021.02.10_14:22,88124
2021.02.10_14:27,89460
2021.02.10_14:32,90925
2021.02.10_14:37,89414
2021.02.10_14:43,88787
2021.02.10_14:54,84862
2021.02.10_15:00,86348
2021.02.10_15:16,88821
2021.02.10_15:21,88032
2021.02.10_15:33,86900
2021.02.10_15:38,88453
2021.02.10_15:49,88635
2021.02.10_16:00,91805
2021.02.10_16:05,93275
2021.02.10_16:10,94662
2021.02.10_16:21,93548
2021.02.10_16:27,95362
2021.02.10_16:37,95924
2021.02.10_16:43,95505
2021.02.10_16:48,97143
2021.02.10_16:53,98728
2021.02.10_16:58,91923
2021.02.10_17:04,92543
2021.02.10_17:09,94354
2021.02.10_17:14,95894
2021.02.10_17:20,94797
2021.02.10_17:25,96501
2021.02.10_17:30,97871
2021.02.10_17:35,96423
2021.02.10_17:41,95689
2021.02.10_17:46,97251
2021.02.10_17:51,98765
