wallet,page,address,balance,transactions,last_used_in_block
Poloniex.com,1,12cgpFdJViXbwHbhrA3TuW1EGnL25Zqc3P,1824.1850422,63500,668636
Poloniex.com,1,17A16QmavnUfCW11DAApiJxp7ARnxN5pGX,318.31976224,17510,668644
Poloniex.com,1,1GjF4VejdJ2n5eS6WPG2aNU7m5ygyqgmDc,4.77763992,4225,668594
Poloniex.com,1,1NYH8TchsaVv4qv1pZcaHbHYjgTvtkjb8M,4.51618696,14204,668643
Poloniex.com,1,1LTBCyh9dKhNNZFaByPXfrkeuAD7yr6A4b,3.0835921,24359,465505
Poloniex.com,1,1HJ5foXvDPFq3MQFnEb6z4KQ4uSBtRK9Cc,2.65280466,6,668642
Poloniex.com,1,1oiAmCXRBvZeybXNYNzwkteTwj2QcCpzQ,2.53168161,2637,540020
Poloniex.com,1,16izjT2FKjNZ8JADnyUumGfrQuNVsuLxos,2.10492871,1936,665563
Poloniex.com,1,1BCjG5wFLSTnnx7xr5qADqH34Sk2k5LDas,2.,11,668644
Poloniex.com,1,1EXmV9drRjrnLXL57KN19MBjAQStduYYvw,1.87346622,1566,591326
Poloniex.com,1,1A7zL26pDP9Pohufskric6TABvp7KAEawF,1.80089509,1506,667980
Poloniex.com,1,1FLDCfr9iG7n6bAdGsqBXmhaLgC4aSze72,1.4129788,15757,542479
Poloniex.com,1,1ADmXz1sxMBC7Wo6JDXiRJsDX1BM3jhPbd,1.25158943,1087,668567
Poloniex.com,1,13Wfy8X8d95nktXbUKB7wPtW4HkJCa96do,1.0608994,840,664565
Poloniex.com,1,1GEMZsZZQ32YqX3nzBptQLJBAtn1XByRCZ,1.0183123,6356,468460
Poloniex.com,1,1ATbrjfsfT5MvSnFzd7QFVB3NuwBv6HgHe,1.,8,668637
Poloniex.com,1,1NNAb51bWsZWFuGTyzYFeeXmCVbcsrYdeQ,0.83674147,864,667551
Poloniex.com,1,1YJY1nbuYPwknXn2HUNHxXawa93MZx7VH,0.78711955,812,667356
Poloniex.com,1,17LepqV9m6KUb9wm5FtWpBmQHMvjfdgg4T,0.7445,38,668643
Poloniex.com,1,17fxoNd7XH8pVEfNGej9Kgpete3XgSWTux,0.63158298,852,576490
Poloniex.com,1,179PDiNdoY3AvmhvNCqTCaU1hBUZMaUA8g,0.59664834,552,621019
Poloniex.com,1,1D13RVVcrZpPnzMzz1iaZPPURDDRKd9LeE,0.56361068,776,665871
Poloniex.com,1,14ne7FZ4y5TCTrzeGXqGBLqVGrKeAGkLJm,0.55924373,454,633124
Poloniex.com,1,15Ncubsvahq6t58WiZNUrxs1AAHaPAjE6U,0.54984215,542,668571
Poloniex.com,1,1NPKjonwLN4GMnbLCiTQFHvenjhPGx8wLb,0.53624399,445,668582
